original_cname,mapped_cname
AMS3913,T Collection Amount 3rd Party Collections
AMS3914,% Rev Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Rev Trades Reported w/in 3 M
AMS3915,% Rev Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Rev Trades Reported w/in 3 M
AMS3916,% Rev Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Rev Trades Reported w/in 3 M
AMS3917,# Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3918,# Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3919,# Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3920,# Bkcrd Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3921,# Bkcrd Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3922,# Bkcrd Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3923,# Dept Store Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3924,# Dept Store Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3925,# Dept Store Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3926,# Inst Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3927,# Inst Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3928,# Inst Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3929,# Retail Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3930,# Retail Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3931,# Retail Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3932,# Rev Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3933,# Rev Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3934,# Rev Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M
AMS3935,# Tr Wo Rat No Worse Than 59 DPD w/in 6 M
AMS3936,# Bkcrd Tr Wo Rat No Worse Than 59 DPD w/in 6 M
AMS3937,# Rev Tr Wo Rat No Worse Than 59 DPD w/in 6 M
AMS3938,% Trades Satis w/in 6 M to Trades Reported w/in 6 M
AMS3939,% Bkcrd Trades Satis w/in 6 M to Bkcrd Trades Reported w/in 6 M
AMS3940,% Rev Trades Satis w/in 6 M to Rev Trades Reported w/in 6 M
AMS3941,% Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Trades Reported w/in 6 M
AMS3942,% Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Trades Reported w/in 6 M
AMS3943,% Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Trades Reported w/in 6 M
AMS3944,% Bkcrd Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Bkcrd Trades Reported w/in 6 M
AMS3945,% Bkcrd Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Bkcrd Trades Reported w/in 6 M
AMS3946,% Bkcrd Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Bkcrd Trades Reported w/in 6 M
AMS3947,% Rev Tr Wo Rat 60 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Rev Trades Reported w/in 6 M
AMS3948,% Rev Tr Wo Rat 90 DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Rev Trades Reported w/in 6 M
AMS3949,% Rev Tr Wo Rat 120-180 or More DPD or Worse w/in 6 M or MajDerog Event w/in 24 M to Rev Trades Reported w/in 6 M
AMS3950,# Tr Wo Rat Ever 60 DPD or Worse 
AMS3951,# Tr Wo Rat Ever 90 DPD or Worse 
AMS3952,# Tr Wo Rat Ever 120-180 or More DPD or Worse 
AMS3953,# Bkcrd Tr Wo Rat Ever 60 DPD or Worse 
AMS3954,# Bkcrd Tr Wo Rat Ever 90 DPD or Worse 
AMS3955,# Bkcrd Tr Wo Rat Ever 120-180 or More DPD or Worse 
AMS3956,# Dept Store Tr Wo Rat Ever 60 DPD or Worse 
AMS3957,# Dept Store Tr Wo Rat Ever 90 DPD or Worse 
AMS3958,# Dept Store Tr Wo Rat Ever 120-180 or More DPD or Worse 
AMS3959,# Inst Tr Wo Rat Ever 60 DPD or Worse 
AMS3960,# Inst Tr Wo Rat Ever 90 DPD or Worse 
AMS3961,# Inst Tr Wo Rat Ever 120-180 or More DPD or Worse 
AMS3962,# Rev Tr Wo Rat Ever 60 DPD or Worse 
AMS3963,# Rev Tr Wo Rat Ever 90 DPD or Worse 
AMS3964,# Rev Tr Wo Rat Ever 120-180 or More DPD or Worse 
AMS3965,# Tr Wo Rat Ever No Worse Than 59 DPD
AMS3966,# Bkcrd Tr Wo Rat Ever No Worse Than 59 DPD
AMS3967,# Rev Tr Wo Rat Ever No Worse Than 59 DPD
AMS3968,% Tr Wo Rat Ever 60 DPD or Worse to Trades
AMS3969,% Tr Wo Rat Ever 90 DPD or Worse to Trades
AMS3970,% Tr Wo Rat Ever 120-180 or More DPD or Worse to Trades
AMS3971,% Trades MajDerog to Trades
AMS3972,% Trades Unpaid MajDerog to Trades
AMS3973,% Bkcrd Tr Wo Rat Ever 60 DPD or Worse to Bkcrd Trades
AMS3974,% Bkcrd Tr Wo Rat Ever 90 DPD or Worse to Bkcrd Trades
AMS3975,% Bkcrd Tr Wo Rat Ever 120-180 or More DPD or Worse to Bkcrd Trades
AMS3976,% Bkcrd Trades MajDerog to Bkcrd Trades
AMS3977,% Bkcrd Trades Unpaid MajDerog to Bkcrd Trades
AMS3978,% Rev Tr Wo Rat Ever 60 DPD or Worse to Rev Trades
AMS3979,% Rev Tr Wo Rat Ever 90 DPD or Worse to Rev Trades
AMS3980,% Rev Tr Wo Rat Ever 120-180 or More DPD or Worse to Rev Trades
AMS3981,% Rev Trades MajDerog to Rev Trades
AMS3982,% Rev Trades Unpaid MajDerog to Rev Trades
AMS3983,% Trades w/MajDerog Event w/in 24 M to Trades
AMS3984,% Bkcrd Trades w/MajDerog Event w/in 24 M to Bkcrd Trades
AMS3985,% Dept Store Trades w/MajDerog Event w/in 24 M to Dept Store Trades
AMS3986,% Inst Trades w/MajDerog Event w/in 24 M to Inst Trades
AMS3987,% Rev Trades w/MajDerog Event w/in 24 M to Rev Trades
AMS3988,% Trades w/Unpaid MajDerog Event w/in 24 M to Trades
AMS3989,% Bkcrd Trades w/Unpaid MajDerog Event w/in 24 M to Bkcrd Trades
AMS3990,% Dept Store Trades w/Unpaid MajDerog Event w/in 24 M to Dept Store Trades
AMS3991,% Inst Trades w/Unpaid MajDerog Event w/in 24 M to Inst Trades
AMS3992,% Rev Trades w/Unpaid MajDerog Event w/in 24 M to Rev Trades
AMS3993,% Inq w/in 3 M to Inq w/in 12 M
AMS3994,% Inq w/in 3 M to Inq w/in 24 M
AMS3995,% Inq w/in 12 M to Inq w/in 24 M
