original_cname,mapped_cname
AMS3286,# 60 DPD Occur w/in 12 M Rev Trades
AMS3288,# 60 DPD Occur w/in 24 M 
AMS3290,# 60 DPD Occur w/in 24 M Bkcrd Trades
AMS3292,# 60 DPD Occur w/in 24 M Dept Store Trades
AMS3293,# 60 DPD Occur w/in 24 M Inst Trades
AMS3296,# 60 DPD Occur w/in 24 M Retail Trades
AMS3297,# 60 DPD Occur w/in 24 M Rev Trades
AMS3307,# 90 DPD Occur w/in 24 M
AMS3309,# 90 DPD Occur w/in 24 M Bkcrd Trades
AMS3311,# 90 DPD Occur w/in 24 M Dept Store Trades
AMS3312,# 90 DPD Occur w/in 24 M Inst Trades
AMS3315,# 90 DPD Occur w/in 24 M Retail Trades
AMS3316,# 90 DPD Occur w/in 24 M Rev Trades
AMS3318,# 120-180 or More DPD Occur w/in 24 M
AMS3320,# 120-180 or More DPD Occur w/in 24 M Bkcrd Trades
AMS3322,# 120-180 or More DPD Occur w/in 24 M Dept Store Trades
AMS3323,# 120-180 or More DPD Occur w/in 24 M Inst Trades
AMS3326,# 120-180 or More DPD Occur w/in 24 M Retail Trades
AMS3327,# 120-180 or More DPD Occur w/in 24 M Rev Trades
AMS3329,# Trades Satis w/in 3 M
AMS3330,# Bkcrd Trades Satis w/in 3 M
AMS3332,# Dept Store Trades Satis w/in 3 M
AMS3333,# Inst Trades Satis w/in 3 M
AMS3335,# Retail Trades Satis w/in 3 M
AMS3336,# Rev Trades Satis w/in 3 M
AMS3338,# Trades Satis w/in 6 M
AMS3340,# Bkcrd Trades Satis w/in 6 M
AMS3347,# Rev Trades Satis w/in 6 M
AMS3348,# Retail Trades Satis w/in 6 M
AMS3349,# 60-180 or More DPD Occur w/in 24 M
AMS3350,# 60-180 or More DPD Occur w/in 24 M Bkcrd Trades
AMS3351,# 60-180 or More DPD Occur w/in 24 M Dept Store Trades
AMS3352,# 60-180 or More DPD Occur w/in 24 M Inst Trades
AMS3353,# 60-180 or More DPD Occur w/in 24 M Retail Trades
AMS3354,# 60-180 or More DPD Occur w/in 24 M Rev Trades
AMS3355,# 90-180 or More DPD Occur w/in 24 M
AMS3356,# 90-180 or More DPD Occur w/in 24 M Bkcrd Trades
AMS3357,# 90-180 or More DPD Occur w/in 24 M Dept Store Trades
AMS3358,# 90-180 or More DPD Occur w/in 24 M Inst Trades
AMS3359,# 90-180 or More DPD Occur w/in 24 M Retail Trades
AMS3360,# 90-180 or More DPD Occur w/in 24 M Rev Trades
AMS3361,# 60-180 or More DPD Occur w/in 12 M
AMS3362,# 60-180 or More DPD Occur w/in 12 M Bkcrd Trades
AMS3363,# 60-180 or More DPD Occur w/in 12 M Dept Store Trades
AMS3364,# 60-180 or More DPD Occur w/in 12 M Inst Trades
AMS3365,# 60-180 or More DPD Occur w/in 12 M Retail Trades
AMS3366,# 60-180 or More DPD Occur w/in 12 M Rev Trades
AMS3367,# 90-180 or More DPD Occur w/in 12 M
AMS3368,# Trades Always Satis
AMS3369,# 90-180 or More DPD Occur w/in 12 M Bkcrd Trades
AMS3370,# Bkcrd Trades Always Satis
AMS3371,# 90-180 or More DPD Occur w/in 12 M Dept Store Trades
AMS3372,# 90-180 or More DPD Occur w/in 12 M Inst Trades
AMS3373,# 90-180 or More DPD Occur w/in 12 M Retail Trades
AMS3374,# 90-180 or More DPD Occur w/in 12 M Rev Trades
AMS3376,# Rev Trades Always Satis
AMS3377,# Retail Trades Always Satis
AMS3379,# Tr Wo Rat 30 DPD w/in 3 M
AMS3380,# Bkcrd Tr Wo Rat 30 DPD w/in 3 M
AMS3382,# Dept Store Tr Wo Rat 30 DPD w/in 3 M
AMS3383,# Inst Tr Wo Rat 30 DPD w/in 3 M
AMS3385,# Retail Tr Wo Rat 30 DPD w/in 3 M
AMS3386,# Rev Tr Wo Rat 30 DPD w/in 3 M
AMS3387,# Sales Finance Tr Wo Rat 30 DPD w/in 3 M
AMS3388,# Tr Wo Rat 60 DPD w/in 3 M
AMS3389,# Bkcrd Tr Wo Rat 60 DPD w/in 3 M
AMS3391,# Dept Store Tr Wo Rat 60 DPD w/in 3 M
AMS3392,# Inst Tr Wo Rat 60 DPD w/in 3 M
AMS3394,# Retail Tr Wo Rat 60 DPD w/in 3 M
AMS3395,# Rev Tr Wo Rat 60 DPD w/in 3 M
AMS3396,# Sales Finance Tr Wo Rat 60 DPD w/in 3 M
AMS3397,# Tr Wo Rat 90 DPD w/in 3 M
AMS3398,# Bkcrd Tr Wo Rat 90 DPD w/in 3 M
AMS3400,# Dept Store Tr Wo Rat 90 DPD w/in 3 M
AMS3401,# Inst Tr Wo Rat 90 DPD w/in 3 M
AMS3403,# Retail Tr Wo Rat 90 DPD w/in 3 M
AMS3404,# Rev Tr Wo Rat 90 DPD w/in 3 M
AMS3405,# Sales Finance Tr Wo Rat 90 DPD w/in 3 M
AMS3406,# Tr Wo Rat 120-180 or More DPD w/in 3 M
AMS3407,# Bkcrd Tr Wo Rat 120-180 or More DPD w/in 3 M
AMS3409,# Dept Store Tr Wo Rat 120-180 or More DPD w/in 3 M
AMS3410,# Inst Tr Wo Rat 120-180 or More DPD w/in 3 M
AMS3412,# Retail Tr Wo Rat 120-180 or More DPD w/in 3 M
AMS3413,# Rev Tr Wo Rat 120-180 or More DPD w/in 3 M
AMS3414,# Sales Finance Tr Wo Rat 120-180 or More DPD w/in 3 M
AMS3415,# Tr Wo Rat 30 DPD w/in 6 M
AMS3417,# Bkcrd Tr Wo Rat 30 DPD w/in 6 M
